Phrase	Translation
You have light grey eyes, 	У вас светло-серые глаза, 
You have light blue eyes, 	У вас светло-голубые глаза, 
You have light green eyes, 	У вас светло-зеленые глаза, 
straight 	прямые 
wavy 	волнистые 
black hair, and a fair complexion.	черные волосы и красивое лицо.
brown hair, and a fair complexion.	темные волосы и красивое лицо.
blond hair, and a fair complexion.	светлые волосы и красивое лицо.
silver hair, and a fair complexion.	серебряные волосы и красивое лицо.
You have dark brown eyes, 	У вас темно-карие глаза, 
You have glowing red eyes, 	У вас горящие красные глаза, 
straight 	прямые 
wavy 	волнистые 
black hair, 	черные волосы, 
brown hair, 	темные волосы, 
a one foot beard, 	борода длиною в фут 
a two foot beard, 	борода длиною в два фута 
a three foot beard, 	борода длиною в три фута 
a four foot beard, 	борода длиною в четыре фута 
and a dark complexion.	и неприятное лицо.
You have slime-green eyes, 	У вас слизисто-зеленые глаза, 
You have puke-yellow eyes, 	У вас маслянисто-желтые глаза, 
You have blue-bloodshot eyes, 	У вас кровавые синие глаза, 
You have glowing red eyes, 	У вас горящие красные глаза, 
dirty 	грязные 
mangy 	спутанные 
oily 	жирные 
sea-weed green hair, 	зеленые волосы 
bright red hair, 	красные волосы 
dark purple hair, 	темно-пурпурные волосы 
and green 	и зеленая 
and blue 	и синяя 
and white 	и белая 
and black 	и черная 
ulcerous skin.	обветревшая кожа.
scabby skin.	потрескавшаяся кожа.
leprous skin.	неровная кожа.
You have black eyes, 	У вас черные глаза, 
You have dark brown eyes, 	У вас темно-карие глаза, 
You have brown eyes, 	У вас карие глаза, 
You have light brown eyes, 	У вас светло-карие глаза, 
You have glowing red eyes, 	У вас горящие красные глаза, 
a dark brown hide, 	темно-коричневая шерсть 
a reddish-brown hide, 	красно-коричневая шерсть 
an olive green hide, 	зеленая шерсть 
a deep blue hide, 	синяя шерсть 
and large, flat teeth.	и большие плоские зубы.
and small, sharp teeth.	и маленькие острые зубы.
and large, sharp teeth.	и большие острые зубы.
