ID	Name	Name Translation	Description	Description Translation
24	Small kobold	маленьк$AMM кобольд$N2A	It is a squat and ugly humanoid figure with a canine face.	Маленький и уродливый человечек с собачьим лицом. Кобольды известны своей лающей речью и иммунитетом к ядам.
25	Kobold	кобольд$N2A	It is a small, dog-headed humanoid.	Небольшая, почти человеческая фигура с головой собаки.
26	White worm mass	масс$N1T белых червей	It is a large slimy mass of worms.	Большая склизкая масса червей, которые размножаются у вас на глазах.
27	Floating eye	плавающ$AMO глаз$N2A	A disembodied eye, floating a few feet above the ground.	Бестелесный глаз, плавающий над землей. Его пристальный взгляд может быть опасен.
28	Rock lizard	ящериц$N1T-каменк$N1M	It is a small lizard with a hardened hide.	Маленькая ящерица с прочной чешуей.
29	Jackal	шакал$N2A	It is a yapping snarling dog, dangerous when in a pack.	Гавкающая дикая собачонка - наиболее опасна в стаях.
30	Soldier ant	мурав^ь*е*й$N2E-рабоч$AMO	A large ant with powerful mandibles.	Большой муравей с мощными челюстями.
31	Fruit bat	летуч$AFM мыш$N3	A fast-moving pest.	Быстро летающий вредитель.
32	Shrieker mushroom patch	гриб$N2A-крикун$N2A	Yum!  It looks quite tasty.  It doesn`t sound so nice, though...	Ням-ням! Выглядит очень вкусно. Этот гриб обладает неприятной особенностью - он способен издавать довольно громкий вой, привлекающий более активных аборигенов подземелья.
33	Blubbering icky thing	прожорлив$ANT существ*о$N2D	It is a smallish, slimy, icky, hungry creature.	Маленькое, склизкое, противное, голодное существо, которое предпочло бы сожрать вас целиком, но удовлетворится и едой из вашего рюкзака.
34	Metallic green centipede	зелен$AFT многоножк$N1M	It is about four feet long and carnivorous.	Хищная многоножка, примерно четырех футов длиной. Ее уродливое тело имеет металлический зеленый отлив.
35	Soldier	нович*ок$N2A-воин$N2A	He looks inexperienced but tough.	Молодой воин в кожаных доспехах и с коротким мечом. Он еще неопытен, но все же достаточно силен.
36	Cutpurse	нович*ок$N2A-вор$N2A	A rather shifty individual.	Довольно скользкий тип, скрывающийся от закона в подземелье.
37	Acolyte	нович*ок$N2A-священник$N2A	He is tripping over his priestly robes.	Аколит религиозного ордена. Он еще путается в своих робах, но уже неплохо знает молитвы.
38	Apprentice	нович*ок$N2A-маг$N2A	He is leaving behind a trail of dropped spell components.	Ученик мага в самостоятельной экспедиции. За ним остается след из потерянных компонентов заклинаний.
39	Yellow mushroom patch	желт$AMT гриб$N2A	Yum!  It looks quite tasty.	Ням-ням! Выглядит очень вкусно.
40	White jelly	бел$ANT желе	Its a large pile of white flesh.	Большая пульсирующая желеобразная масса.
41	Giant green frog	зелен$AFT лягушк$N1M	It is as big as a wolf.	Странная лягушка размером с волка.
42	Giant black ant	черн$AMT мурав^ь*е*й$N2E	It is about three feet long.	Один из низших гигантских муравьев - всего около трех футов в длину.
43	Salamander	саламандр$N1T	A small black and orange lizard.	Маленькая черно-оранжевая ящерица.
44	White harpy	бел$AFT гарпи$N1N	A flying, screeching bird with a woman`s face.	Пронзительно кричащая птица с лицом женщины. Она стремится расцарапать вам лицо.
45	Blue yeek	син$AMO йик$N2A	A small humanoid figure.	Маленький странный гуманоид с синей кожей и невысоким интеллектом, но громким и пронзительным голосом.
46	Grip, Farmer Maggot`s dog	Клык$N2A, п*ес$N2A Фермера Мэггота	A rather vicious dog belonging to Farmer Maggot.  It thinks you are stealing mushrooms.	Довольно хищная собака, принадлежащая Фермеру Мэгготу. Она думает, что вы крадете его грибы.
47	Fang, Farmer Maggot`s dog	Хват$N2A, п*ес$N2A Фермера Мэггота	A rather vicious dog belonging to Farmer Maggot.  It thinks you are stealing mushrooms.	Довольно хищная собака, принадлежащая Фермеру Мэгготу. Она думает, что вы крадете его грибы.
48	Green worm mass	масс$N1T зеленых червей	It is a large slimy mass of worms.	Большая склизкая масса червей, оставляющая за собой влажную вонючую полосу на земле.
49	Large yellow snake	желт$AFT зме$N1N	It is about ten feet long.	Она около десяти футов в длину.
50	Cave spider	пещерн$AMT паук$N2A	It is a black spider that moves in fits and starts.	Черный паук, группы которых часто встречаются в сырых пещерах. Он способен двигаться очень быстро. Несколько таких пауков могут за минуту обглодать до костей небольшое животное.
51	Wild cat	дик$AFM кошк$N1M	A larger than normal feline, hissing loudly.  Its velvet paws conceal a fistful of needles.	Больше обычной кошки, и громко шипит. Ее мягкие лапки скрывают острые как игры когти.
52	Sméagol	Смеагорл$N2A	Usually known as Gollum.  He`s been sneaking, and he wants his `precious.`	Также известен как Горлум. Существо, бывшее когда-то хоббитом, ищущее сейчас свою ``прелесть``. `Он обладал тайным сокровищем, доставшимся ему очень давно, когда он еще жил на свету; это было золотое кольцо, делавшее своего владельца невидимым. Оно было единственной вещью, которую любил Горлум, ``моя прелесть``, как он сам ее называл. Он прятал его в яме на своем острове и надевал только тогда, когда охотился или шпионил за орками в шахтах.`
53	Green ooze	зелен$AFT слиз$N3	It`s green and it`s oozing.	Зеленая слизь, по-видимому растительного происхождения, наделенная собственной жизнью.
54	Poltergeist	полтергейст$N2A	It is a ghastly, ghostly form.	Страшный, призрачный силуэт. Касание невидимого полтергейста или поднятие им вещей весьма жутки; к счастью, сам полтергейст неопасен.
55	Metallic blue centipede	син$AFO многоножк$N1M	It is about four feet long and carnivorous.	Хищная многоножка, примерно четырех футов длиной.
56	Giant white louse	бел$AFT вош$N3	It is six inches long.	Шести дюймов длиною, и очень быстро размножается.
57	Black naga	черн$AFT наг$N1M	A large black serpent`s body with a female torso.	Тело большой черной змеи с торсом женщины. Эта нага не ядовита, но может легко убить, просто сдавливая свою жертву.
58	Spotted mushroom patch	пятнист$AMT гриб$N2A	Yum!  It looks quite tasty.	Ням-ням! Выглядит очень вкусно. По слухам, мухоморы могут быть полезны при определенных заболеваниях.
59	Silver jelly	серебрян$ANT желе	It is a large pile of silver flesh that sucks all light from its surroundings.	Большая серебристая желеобразная масса. Она как будто поглощает весь падающий на нее свет.
60	Yellow jelly	желт$ANT желе	It`s a large pile of yellow flesh.	Большая пульсирующая желтая желеобразная масса. Приближаясь к ней, вы чувствуете странную пустоту.
61	Scruffy looking hobbit	жалк$AMM хоббит$N2A	A short little guy, in bedraggled clothes.  He appears to be looking for a good tavern.	Низкорослый парень в поношенной одежде. Он выглядит так, как будто ищет хорошую таверну.
62	Giant white ant	бел$AMT мурав^ь*е*й$N2E	It is about two feet long and has sharp pincers.	Около двух футов в длину, с острыми челюстями.
63	Yellow mold	желт$AFT плесен$N3	It is a strange yellow growth on the dungeon floor.	Странный желтый нарост на полу.
64	Metallic red centipede	красн$AFT многоножк$N1M	It is about four feet long and carnivorous.	Хищная многоножка, примерно четырех футов длиной.
65	Yellow worm mass	масс$N1T желтых червей	It is a large slimy mass of worms.	Большая склизкая масса червей.
66	Clear worm mass	масс$N1T прозрачных червей	It is a disgusting mass of poisonous worms.	Отвратительная масса ядовитых червей. Они практически полностью прозрачны, как и выделяемая ими слизь.
67	Radiation eye	излучающ$AMO глаз$N2A	A disembodied eye, crackling with energy.	Бестелесный глаз, потрескивающий от энергии. Слабейший родственник гаута, но его взгляд может быть опасен.
68	Cave lizard	пещерн$AFT ящериц$N1T	It is an armoured lizard with a powerful bite.	Ящерица с прочной чешуей и болезненным укусом.
69	Scout	нович*ок$N2A-следопыт$N2A	An agile hunter, ready and relaxed.	Ловкий охотник с луком - возможно, просто заблудившийся в подземелье.
70	Gallant	нович*ок$N2A-паладин$N2A	An adventurer both devoutly religious and skillful in combat.	Путешественник, начавший свой крестовый поход против зла Ангбэнда. К сожалению, он слишком фанатичен, и не считает вас своим союзником.
71	Blue jelly	син$ANO желе	It`s a large pile of pulsing blue flesh.	Большая пульсирующая синяя желеобразная масса. От нее веет ощутимым холодом.
72	Creeping copper coins	кучк$N1T медных монет	It appears to be a pile of copper coins.	Она кажется вполне обычной кучкой медных монет, пока вы не выясняете, что у нее есть ноги, и что она может больно кусаться.
73	Giant white rat	бел$AFT крыс$N1T	It is a very vicious rodent.	Очень хищный грызун, распространяющий опасные инфекции.
74	Blue worm mass	масс$N1T синих червей	It is a large slimy mass of worms.	Большая склизкая масса червей, очень холодная на ощупь.
75	Large grey snake	сер$AFT зме$N1N	It is about ten feet long.	Она около десяти футов в длину. Хотя она и не ядовита, ее укус все же довольно болезнен, а ее мышцы достаточно сильны, чтобы сломать позвоночник орку.
76	Bullroarer the Hobbit	Тук$N2A Быч^ь$AMO Рев$N2A	He is a sturdy hobbit who is renowned for his unusual strength and vigour.  He can prove a troublesome opponent.	Хоббит, известный своей необычной силой и доблестью. Он может стать непростым противником - по слухам, он мог ездить даже на лошади.
77	Novice mage	Novice mage	He is leaving behind a trail of dropped spell components.	He is leaving behind a trail of dropped spell components.
78	Green naga	зелен$AFT наг$N1M	A large green serpent with a female`s torso.  Her green skin glistens with acid.	Большая зеленая змея с торсом женщины. Ее зеленая кожа блестит от кислоты.
79	Blue ooze	син$AFO слиз$N3	It`s blue and it`s oozing.	Вязкая синеватая слизь, которая стремится поглотить свою неосторожную жертву целиком.
80	Green glutton ghost	зелен$ANT прожорлив$ANT привидени*е$N2E	It is a very ugly green ghost with a voracious appetite.	Очень уродливое зеленое привидение с ненасытным аппетитом.
81	Green jelly	зелен$ANT желе	It is a large pile of pulsing green flesh.	Большая пульсирующая зеленая желеобразная масса, выделяющая отвратительную слизь.
82	Large kobold	больш$AMN кобольд$N2A	It a man-sized figure with the all too recognizable face of a kobold.	Фигура человеческого роста все с тем же знакомым лицом кобольда, нагло ухмыляющимся вам.
83	Skeleton kobold	скелет$N2A кобольда	It is a small animated kobold skeleton.	Небольшой скелет кобольда. Скелеты - одни из слабейших живых мертвецов, а скелет кобольда станет оживлять разве что ученик некроманта - в качестве домашнего задания.
84	Grey icky thing	сер$ANU существ*о$N2D	It is a smallish, slimy, icky, nasty creature.	Маленькое, склизкое, противное, гадкое существо.
85	Disenchanter eye	раззачаровывающ$AMO глаз$N2A	A disembodied eye, crackling with magic.	Бестелесный глаз, взгляд которого уничтожает магию.
86	Red worm mass	масс$N1T красных червей	It is a large slimy mass of worms.	Большая склизкая масса красных червей. Кажется, они слабо светятся в темноте.
87	Copperhead snake	гадюк$N1M	It has a copper head and sharp venomous fangs.	Небольшая, но довольно ядовитая змея.
88	Purple mushroom patch	сиренев$AMT гриб$N2A	Yum!  It looks quite tasty.	Выглядит не очень вкусно. Сиреневые грибы - хищники и паразиты, их споры могут прорастать внутри людей или животных.
89	Novice priest	Novice priest	He is tripping over his priestly robes.	He is tripping over his priestly robes.
90	Novice warrior	Novice warrior	He looks inexperienced but tough.	He looks inexperienced but tough.
91	Novice rogue	Novice rogue	A rather shifty individual.	A rather shifty individual.
92	Brown mold	коричнев$AFT плесен$N3	A strange brown growth on the dungeon floor.	Странный коричневый нарост на полу.
93	Giant brown bat	коричнев$AFT летуч$AFM мыш$N3	It screeches as it attacks.	Она громко кричит, налетая на вас.
94	Kobold archer	кобольд$N2A-лучник$N2A	It is an ugly dog-headed humanoid wielding a bow.	Уродливый собакоголовый человечек с примитивным, но достаточно эффективным луком в руках.
95	Creeping silver coins	кучк$N1T серебряных монет	It appears to be a pile of silver coins.	Она кажется вполне обычной кучкой серебряных монет. За исключением ядовитого укуса.
96	Snaga	снаг$N1M	He is one of the many weaker `slave` orcs, often mistakenly known as a goblin.	Один из многих слабых орков-рабов, часто ошибочно называемый гоблином. Толпы снаг часто шатаются по подземелью в поисках каких-нибудь развлечений - в перерыве между войнами.
97	Rattlesnake	гремуч$AFM зме$N1N	It is recognized by the hard-scaled end of its body that is often rattled to frighten its prey.	Ее легко опознать по твердым чешуйкам на хвосте, которыми она часто шуршит для устрашения своей жертвы. Яд гремучей змеи очень опасен.
98	Cave orc	пещерн$AMT орк$N2A	He is often found in huge numbers in deep caves.	Наиболее часто встречающаяся разновидность орка. Они встречаются в огромных количествах в глубоких пещерах, разводимые Морготом для войн.
99	Wood spider	древесн$AMT паук$N2A	It scuttles towards you.	Он движется к вам, перебирая тоненькими ногами. Древесный паук живет на деревьях и редко попадает в подземелье, но встреча с ним может запомниться надолго.
100	Manes	манес$N2A	It is a minor but aggressive demon.	Небольшой, но агрессивный демон - младший обитатель ада. Такие демоны трепещут перед своими повелителями, но с удовольствием предают слабейших существ изощренным пыткам.
101	Bloodshot eye	кровав$AMT глаз$N2A	A disembodied eye, bloodshot and nasty.	Бестелесный глаз, кровавый и ужасный.
102	Red naga	красн$AFT наг$N1M	A large red snake with a woman`s torso.	Большая красная змея с торсом женщины.
103	Red jelly	красн$ANT желе	It is a large pulsating mound of red flesh.	Большая пульсирующая красная желеобразная масса. Ее касание ничего хорошего не сулит.
104	Giant red frog	красн$AFT лягушк$N1M	It looks poisonous.	Не очень большая, но хищная лягушка. Она выглядит ядовитой.
105	Green icky thing	зелен$ANT существ*о$N2D	It is a smallish, slimy, icky, acidic creature.	Маленькое, склизкое, противное, едкое существо.
106	Zombified kobold	кобольд$N2A-зомби	It is an animated kobold corpse.  Flesh falls off in large chunks as it shambles forward.	Это оживленный некромантией труп кобольда. Мясо вываливается из него большими кусками по мере того, как он неуклюже шагает вперед. Его запах хуже живого кобольда.
107	Lost soul	потерянн$AFT душ$N1M	It is almost insubstantial.	Она почти неосязаема. Потерянные души встречаются в мире живых обычно по недоразумению - когда погибший желает совершить то, что должен был совершить еще при жизни.
108	Dark elf	темн$AMT эльф$N2A	An elven figure with jet black skin and white hair, his eyes are large and twisted with evil.	Фигура эльфа с гагатово-черной кожей и белыми волосами. В его больших глазах чувствуется злоба. Темные эльфы предались злу в незапамятные времета, и теперь живут только в глубоких подземельях, где они разводят гигантских пауков.
109	Night lizard	ночн$AFT ящериц$N1T	It is a black lizard with overlapping scales and a powerful jaw.	Черная ящерица с прочной чешуей и мощной челюстью.
110	Mughash the Kobold Lord	Мугаш$N2C, Повелител*ь$N2E Кобольдов	Strong and powerful, for a kobold.	Очень сильный - по крайней мере, для кобольда. С длинным кинжалом в руках, и длинными зубами во рту, он явно намеревается устроить своему племени хороший праздник.
111	Wormtongue, Agent of Saruman	Гнилоуст$N2A, агент$N2A Сарумана	He`s been spying for Saruman.  He is a snivelling wretch with no morals and disgusting habits.	Он шпионит для Сарумана. Он - отмороженный тип, без понятий о морали и с отвратительными привычками. `Вниз, червяк! - добавил Гэндальф внезапно страшным голосом. - вниз, ползай на животе! Давно ли ты продался Саруману? Какая тебе обещана награда? Когда все воины будут мертвы, ты получишь свою часть сокровищ и вожделенную женщину. Давно ты уже следишь за ней, неусыпно и беспрестанно!`
112	Lagduf, the Snaga	Лагдуф$N2A, снаг$N1M	A captain of a regiment of weaker orcs, Lagduf keeps his troop in order with displays of excessive violence.	Капитан отряда слабых орков Лагдуф поддерживает дисциплину с помощью излишнего насилия - довольно типично для орков.
113	Brown yeek	коричнев$AMT йик$N2A	It is a strange small humanoid.	Странный маленький гуманоид - несколько более сильная разновидность йика.
114	Novice ranger	Novice ranger	An agile hunter, ready and relaxed.	An agile hunter, ready and relaxed.
115	Giant salamander	гигантск$AFM саламандр$N1T	A large black and yellow lizard.  You`d better run away!	Большая черно-желтая ящерица. От нее чувствуется жар, как от небольшого дракона.
116	Green mold	зелен$AFT плесен$N3	It is a strange growth on the dungeon floor.	Странный нарост на полу.
117	Skeleton orc	скелет$N2A орка	It is an animated orc skeleton.	Это оживленный некромантом скелет орка. Он думает еще меньше, чем при жизни, но все еще умеет работать мечом.
118	Novice paladin	Novice paladin	An adventurer both devoutly religious and skillful in combat.	An adventurer both devoutly religious and skillful in combat.
119	Lemure	лемур$N2A	It is the larval form of a major demon.	Зачаточная форма старшего демона, малоразумная, но горящая ненавистью ко всему на свете.
120	Hill orc	полев$AMU орк$N2A	He is a hardy well-weathered survivor.	Крепкий орк, привыкший выживать в самых разных условиях.
121	Bandit	бандит$N2A	He is after your cash!	Ему нужен ваш кошелек. Или жизнь.
122	Yeti	йети	A large white figure covered in shaggy fur.	Большая белая фигура, покрытая косматым мехом - странный полуразумный человек.
123	Bloodshot icky thing	кровав$ANT существ*о$N2D	It is a strange, slimy, icky creature.	Странное, склизкое, противное существо, источающее ядовитую кровь.
124	Giant grey rat	сер$AFT крыс$N1T	It is a rodent of unusual size.	Крайне агрессивный грызун необычных размеров.
125	Black harpy	черн$AFT гарпи$N1N	A woman`s face on the body of a vicious black bird.	Большая черная птица с лицом женщины. Она пронзительно вопит, и стремится выцарапать вам глаза.
126	Orc shaman	орк$N2A-шаман$N2A	An orc dressed in skins who gestures wildly.	Дико жестикулирующий орк в звериных шкурах, способный использовать примитивную магию.
127	Baby blue dragon	маленьк$AMM син$AMO дракон$N2A	This hatchling dragon is still soft, its eyes unaccustomed to light and its scales a pale blue.	Этот едва вылупившийся дракон еще мал, его глаза неприспособлены к свету, а чешуйки отливают бледно-синим. Он смотрит на вас с большим любопытством. Может быть, он хочет всего лишь поиграть?
128	Baby white dragon	маленьк$AMM бел$AMT дракон$N2A	This hatchling dragon is still soft, its eyes unaccustomed to light and its scales a pale white.	Этот едва вылупившийся дракон еще мал, его глаза неприспособлены к свету, а чешуйки отливают бледно-белым. Он смотрит на вас с большим любопытством. Может быть, он хочет всего лишь поиграть?
129	Baby green dragon	маленьк$AMM зелен$AMT дракон$N2A	This hatchling dragon is still soft, its eyes unaccustomed to light and its scales a sickly green.	Этот едва вылупившийся дракон еще мал, его глаза неприспособлены к свету, а чешуйки отливают болезненно-зеленым. Он смотрит на вас с большим любопытством. Может быть, он хочет всего лишь поиграть?
130	Baby black dragon	маленьк$AMM черн$AMT дракон$N2A	This hatchling dragon is still soft, its eyes unaccustomed to light and its scales a dull black.	Этот едва вылупившийся дракон еще мал, его глаза неприспособлены к свету, а чешуйки отливают матово-черным. Он смотрит на вас с большим любопытством. Может быть, он хочет всего лишь поиграть?
131	Baby red dragon	маленьк$AMM красн$AMT дракон$N2A	This hatchling dragon is still soft, its eyes unaccustomed to light and its scales a pale red.	Этот едва вылупившийся дракон еще мал, его глаза неприспособлены к свету, а чешуйки отливают бледно-красным. Он смотрит на вас с большим любопытством. Может быть, он хочет всего лишь поиграть?
132	Giant red ant	красн$AMT мурав^ь*е*й$N2E	It is large and has venomous mandibles.	Очень большой муравей с ядовитыми челюстями.
133	Brodda, the Easterling	Бродд$N1T Вастак$N2A	A nasty piece of work, Brodda picks on defenseless women and children.	Воин-вастак, Бродда больше всего любит нападать на беззащитных женщин и детей.
134	King cobra	королевск$AFM кобр$N1T	It is a large snake with a hooded face.	Большая змея с характерным ``капюшоном`` на голове - одна из самых ядовитых.
135	Giant spider	гигантск$AMM паук$N2A	It is a vast black spider whose bulbous body is bloated with poison.	Огромный черный паук, тело которого разбухло от яда.
136	Dark elven mage	темн$AMT эльф$N2A-маг$N2A	A dark elven figure, dressed all in black, hurling spells at you.	Темный эльф, одетый в черное, колдующий заклинания.
137	Orfax, Son of Boldor	Орфакс$N2A, сын$N2A Болдора	He`s just like his daddy!  He knows mighty spells, but fortunately he is a yeek.	Точная копия папаши! Он знает мощные заклинания, но, к счастью, он всего лишь йик.
138	Dark elven warrior	темн$AMT эльф$N2A-воин$N2A	A dark elven figure in armour and ready with his sword.	Темный эльф в доспехах и с мечом. Он весьма мрачно смотрит на вас.
139	Clear mushroom patch	прозрачн$AMT гриб$N2A	Yum!  It looks quite tasty.	Ням-ням! Пахнет очень вкусно - но увидеть его почти невозможно.
140	Grishnákh, the Hill Orc	Грышнак$N2A, полев$AMU орк$N2A	He is a cunning and devious orc with a chaotic nature.	Жестокий и хитрый орк со злобным характером.
141	Giant white tick	бел$AMT клещ$N2A	It is moving slowly towards you.	Он медленно подползает к вам.
142	Hairy mold	мохнат$AFT плесен$N3	It is a strange hairy growth on the dungeon floor.	Странный нарост на полу, покрытый волокнистой шерстью.
143	Disenchanter mold	раззачаровывающ$AFM плесен$N3	It is a strange glowing growth on the dungeon floor.	Странный светящийся нарост на полу.
144	Pseudo-dragon	псевдодракон$N2A	A small relative of the dragon that inhabits dark caves.	Дальний родственник драконов, обитающий в темных пещерах. На самом деле, он скорее сродни ящерицам. Тем не менее, он может быть существенно опаснее маленького дракона.
145	Tengu	тенгу	It is a fast-moving demon that blinks quickly in and out of existence; no other demon matches its teleporting mastery.	Быстро движущийся демон, входящий и выходящий из пространства в различных местах; ни один демон не сравнится с ним в мастерстве телепортации.
146	Creeping gold coins	кучк$N1T золотых монет	It appears to be a pile of gold coins, until it starts crawling towards you on tiny legs.	Она кажется вполне обычной кучкой золотых монет... пока не начинает подползать к вам на крошечных ножках.
147	Wolf	волк$N2A	It howls and snaps at you.	Он воет и щелкает зубами при виде вас. Стаи волков могут быть очень опасны даже для опытного воина.
148	Giant fruit fly	мух$N1M	A fast-breeding, annoying pest.	Быстро размножающийся, раздражающий вредитель, увеличенный магией во много раз.
149	Panther	пантер$N1T	A large black cat, stalking you with intent.  It thinks you`re its next meal.	Большая черная кошка, готовящаяся к прыжку на вас, красивая и очень опасная.
150	Brigand	грабител*ь$N2E	He is eyeing your backpack.	Принимая отсутствующий вид, он пристально наблюдает за вашим рюкзаком.
151	Baby multi-hued dragon	маленьк$AMM многоцветн$AMT дракон$N2A	This hatchling dragon is still soft, its eyes unaccustomed to light and its scales shimmering with hints of many different colours.	Этот едва вылупившийся дракон еще мал, его глаза неприспособлены к свету, а бледные чешуйки отливают разными цветами. Он смотрит на вас с большим любопытством. Может быть, он хочет всего лишь поиграть?
152	Hippogriff	гиппогрифф$N2A	A strange hybrid of eagle and horse.  It looks weird.	Странный жутковатый гибрид орла и лошади.
153	Zombified orc	орк$N2A-зомби	It is a shambling orcish corpse leaving behind a trail of flesh.	Оживленный труп орка, оставляющий за собой след из разлагающейся плоти. Крайне отвратительное существо, созданное исключительно для убийств.
154	Gnome mage	карлик$N2A-маг$N2A	A mage of short stature.	Низкорослый, ловкий человечек с большим носом и непревзойденным чувством юмора.
155	Black mamba	черн$AFT мамб$N1T	It has glistening black skin, a sleek body and highly venomous fangs.	Змея с блестящей черной чешуей, гибким телом и очень ядовитыми клыками.
156	White wolf	бел$AMT волк$N2A	A large and muscled wolf from the northern wastes.  Its breath is cold and icy and its fur coated in frost.	Большой волк из северных пустошей. Его дыхание холодно как лед, а шерсть покрыта инеем.
157	Grape jelly	пурпурн$ANT желе	Yum!  It looks quite tasty.  It is a pulsing mound of glowing flesh.	Ням-ням! Выглядит очень вкусно. Это пульсирующая и светящаяся желеобразная масса, иногда ошибочно принимаемая за квулсхулг.
158	Nether worm mass	масс$N1T могильных червей	It is a disgusting mass of dark worms, eating each other, the floor, the air, you....	Отвратительная масса темных червей, поедающих друг друга, пол, воздух, вас...
159	Golfimbul, the Hill Orc Chief	Гольфимбул*ь$N2E, командир$N2A полевых орков	A leader of a band of raiding orcs, he picks on hobbits.	Предводитель банды орков, нападающей на хоббитов.
160	Master yeek	мастер$N2A-йик$N2A	A small humanoid that radiates some power.	Маленький гуманоид, излучающий некоторую силу, мастер-йик имеет неплохие познания в маги.
161	Priest	священник$N2A	A robed man, dedicated to his god.	Человек в монашеских робах, посвященный своему богу - по всей видимости, злому.
162	Dark elven priest	темн$AMT эльф$N2A-священник$N2A	A dark elven figure, dressed all in black, chanting curses and waiting to deliver your soul to hell.	Темный эльф, одетый в черное, поющий проклятья.
163	Air spirit	воздушн$AMT дух$N2A	A whirlwind of sentient air.	Вихрь разумного воздуха.
164	Skeleton human	скелет$N2A человека	It is an animated human skeleton.	Оживленный скелет человека. Вас охватывает неприятное чувство при виде этих костей в обрывках какой-то одежды, с пустыми пыльными глазницами и остатками волос на черепе. Кем он был? Храбрым воином из Атани, сражавшимся еще в Нирнаэт Арноэдиад, или подлым вастаком, истреблявшим мирные поселения? Или же вашим предшественником? И помнит ли еще это существо об этом?
165	Zombified human	человек$N2A-зомби	It is a shambling human corpse dropping chunks of flesh behind it.	Оживленный человеческий труп, из которого выпадают большие куски мяса. Вы едва сдерживаете тошноту.
166	Tiger	тигр$N2A	One of the largest of its species, a sleek orange and black shape creeps towards you, ready to pounce.	Одна из самых больших кошек. Оранжево-черная полосатая фигура готова к прыжку в любой момент.
167	Moaning spirit	воющ$AMO дух$N2A	A ghostly apparition that shrieks horribly.	Призрачный силуэт, почти невидимый, ужасно вопящий.
168	Easterling warrior	меченос*ец$N2A	A warrior of considerable skill.	Воин с неплохими навыками.
169	Stegocentipede	костян$AFT многоножк$N1M	It is a vast armoured centipede with massive mandibles and a spiked tail.	Большая многоножка с массивными челюстями, жалом на хвосте и очень прочной шкурой. Она не ядовита, но ее укус крайне болезнен.
170	Spotted jelly	пятнист$ANT желе	A strange jelly thing, covered in discoloured blotches.	Странное желеобразное существо, покрытое бесцветными пятнами.
