Text	Occurrence
"# Reading unknown scroll %s."	"src/borg/borg3.c:2063"
"# Eating unknown mushroom %s."	"src/borg/borg3.c:2110"
"# Using unknown Staff %s."	"src/borg/borg3.c:2153"
"# Reading %s."	"src/borg/borg3.c:2191"
"# Zapping %s."	"src/borg/borg3.c:2318"
"# Aiming %s."	"src/borg/borg3.c:2349"
"# Using %s."	"src/borg/borg3.c:2380 src/borg/borg3.c:2445"
"# %s must be *ID*'d before activation."	"src/borg/borg3.c:2552 src/borg/borg3.c:2624"
"# Activating artifact %s."	"src/borg/borg3.c:2557"
"# Activating item %s."	"src/borg/borg3.c:2701"
"# Activating dragon scale %s."	"src/borg/borg3.c:2801"
"# Activating ring %s."	"src/borg/borg3.c:2884"
"# Casting %s (%d,%d)."	"src/borg/borg3.c:3071"
"# Praying %s (%d,%d)."	"src/borg/borg3.c:3269"
"!"	"src/borg/borg3.c:3514 src/borg/borg3.c:3568 src/files.c:404 src/xtra3.c:139"
"(nothing)"	"src/borg/borg3.c:3549 src/borg/borg3.c:3596 src/object/obj-desc.c:181 src/object/obj-desc.c:685 src/object/obj-ui.c:62"
"magical"	"src/borg/borg4.c:208 src/borg/borg4.c:972 src/borg/borg4.c:1841 src/borg/borg4.c:2352 src/borg/borg6.c:6623 src/borg/borg7.c:116 src/borg/borg7.c:2471 src/borg/borg7.c:2507 src/borg/borg7.c:3260 src/borg/borg7.c:3351 src/borg/borg7.c:3507 src/borg/borg7.c:3978 src/borg/borg8.c:904 src/borg/borg8.c:915 src/tables.c:247"
"ego"	"src/borg/borg4.c:209 src/borg/borg4.c:973 src/borg/borg4.c:1843 src/borg/borg4.c:2353 src/borg/borg7.c:2473 src/borg/borg7.c:2509 src/borg/borg7.c:3262 src/borg/borg7.c:3352 src/borg/borg7.c:3508 src/borg/borg7.c:3979 src/borg/borg8.c:906 src/borg/borg8.c:916 src/object/obj-desc.c:602"
"splendid"	"src/borg/borg4.c:210 src/borg/borg4.c:973 src/borg/borg4.c:1844 src/borg/borg4.c:2354 src/borg/borg7.c:2474 src/borg/borg7.c:2510 src/borg/borg7.c:3263 src/borg/borg7.c:3353 src/borg/borg7.c:3509 src/borg/borg7.c:3980 src/borg/borg8.c:907 src/borg/borg8.c:917 src/tables.c:248"
"excellent"	"src/borg/borg4.c:211 src/borg/borg4.c:973 src/borg/borg4.c:1842 src/borg/borg4.c:2355 src/borg/borg7.c:2472 src/borg/borg7.c:2508 src/borg/borg7.c:3261 src/borg/borg7.c:3354 src/borg/borg7.c:3510 src/borg/borg7.c:3981 src/borg/borg8.c:905 src/borg/borg8.c:919 src/tables.c:249 src/wizard.c:833"
"special"	"src/borg/borg4.c:972 src/borg/borg4.c:1846 src/borg/borg4.c:2357 src/borg/borg7.c:1781 src/borg/borg7.c:1919 src/borg/borg7.c:2293 src/borg/borg7.c:2475 src/borg/borg7.c:2511 src/borg/borg7.c:3264 src/borg/borg7.c:3356 src/borg/borg7.c:3512 src/borg/borg7.c:3983 src/borg/borg8.c:908 src/borg/borg8.c:918 src/tables.c:250"
"terrible"	"src/borg/borg4.c:1845 src/borg/borg4.c:2356 src/borg/borg7.c:1782 src/borg/borg7.c:1920 src/borg/borg7.c:2294 src/borg/borg7.c:2476 src/borg/borg7.c:2512"
"rs my_CURLITE"	"src/borg/borg4.c:8905"
"rs amt_fuel"	"src/borg/borg4.c:8908"
"rs amt_food"	"src/borg/borg4.c:8911"
"rs fuel+2"	"src/borg/borg4.c:8919"
"rs food+2"	"src/borg/borg4.c:8922"
"rs phase"	"src/borg/borg4.c:8937"
"rs clw/csw"	"src/borg/borg4.c:8940"
"rs light+1"	"src/borg/borg4.c:8949"
"rs cure"	"src/borg/borg4.c:8952 src/borg/borg4.c:8964"
"rs tele&esc(1)"	"src/borg/borg4.c:8955"
"rs tele&esc(4)"	"src/borg/borg4.c:8967"
"rs teleport(1)"	"src/borg/borg4.c:8976"
"rs heal"	"src/borg/borg4.c:8990"
"rs *heal*"	"src/borg/borg4.c:8999"
"1 Lite"	"src/borg/borg4.c:9026"
"5 Food"	"src/borg/borg4.c:9029"
"5 Fuel"	"src/borg/borg4.c:9038"
"30 hp"	"src/borg/borg4.c:9046"
"50 hp"	"src/borg/borg4.c:9060 src/borg/borg4.c:9064 src/borg/borg4.c:9072 src/borg/borg4.c:9076"
"4 clevel"	"src/borg/borg4.c:9061 src/borg/borg4.c:9073 src/borg/borg4.c:9077"
"8 clevel"	"src/borg/borg4.c:9065"
"40 hp"	"src/borg/borg4.c:9068"
"9 level"	"src/borg/borg4.c:9069"
"60 hp"	"src/borg/borg4.c:9080 src/borg/borg4.c:9106 src/borg/borg4.c:9110 src/borg/borg4.c:9114 src/borg/borg4.c:9118 src/borg/borg4.c:9122"
"11 clevel"	"src/borg/borg4.c:9081"
"2 cure"	"src/borg/borg4.c:9087"
"2 ident"	"src/borg/borg4.c:9090"
"6 clevel"	"src/borg/borg4.c:9107 src/borg/borg4.c:9119 src/borg/borg4.c:9123"
"10 clevel"	"src/borg/borg4.c:9111"
"15 clevel"	"src/borg/borg4.c:9115"
"80 hp"	"src/borg/borg4.c:9126"
"15 level"	"src/borg/borg4.c:9127"
"5 idents"	"src/borg/borg4.c:9134"
"2 cures"	"src/borg/borg4.c:9137"
"1 recall"	"src/borg/borg4.c:9140"
"2 Light"	"src/borg/borg4.c:9149"
"2 tele&esc"	"src/borg/borg4.c:9152"
"dlevel - 4 >= clevel"	"src/borg/borg4.c:9161"
"dlevel >= clevel"	"src/borg/borg4.c:9164 src/borg/borg4.c:9167 src/borg/borg4.c:9170 src/borg/borg4.c:9173"
"dlevel + 5 > = clevel"	"src/borg/borg4.c:9177"
"ident10"	"src/borg/borg4.c:9183"
"cure crit3"	"src/borg/borg4.c:9186"
"See Invis : ESP"	"src/borg/borg4.c:9191"
"RF"	"src/borg/borg4.c:9210"
"basic resist2"	"src/borg/borg4.c:9214"
"low STR"	"src/borg/borg4.c:9217 src/borg/borg4.c:9300 src/borg/borg4.c:9333"
"low INT"	"src/borg/borg4.c:9221 src/borg/borg4.c:9304 src/borg/borg4.c:9337"
"low WIS"	"src/borg/borg4.c:9225 src/borg/borg4.c:9308 src/borg/borg4.c:9341"
"low DEX"	"src/borg/borg4.c:9227 src/borg/borg4.c:9310 src/borg/borg4.c:9343"
"low CON"	"src/borg/borg4.c:9228 src/borg/borg4.c:9311 src/borg/borg4.c:9344"
"dlevel + 5 >= clevel"	"src/borg/borg4.c:9237"
"dlevel + 10 >= clevel"	"src/borg/borg4.c:9241"
"dlevel + 13 >= clevel"	"src/borg/borg4.c:9245"
"dlevel + 7 >= clevel"	"src/borg/borg4.c:9249"
"dlevel + 8 >= clevel"	"src/borg/borg4.c:9253 src/borg/borg4.c:9257"
"(clevel-38)*2+30 < dlevel"	"src/borg/borg4.c:9261"
"RC"	"src/borg/borg4.c:9273"
"RE"	"src/borg/borg4.c:9274"
"RA"	"src/borg/borg4.c:9275"
"tell&esc6"	"src/borg/borg4.c:9278"
"cure10"	"src/borg/borg4.c:9281"
"level 40"	"src/borg/borg4.c:9287"
"RPois"	"src/borg/borg4.c:9297 src/xtra3.c:675"
"RConf"	"src/borg/borg4.c:9298 src/xtra3.c:676"
"+5 speed"	"src/borg/borg4.c:9321"
"1heal"	"src/borg/borg4.c:9324"
"HP 500"	"src/borg/borg4.c:9329"
"hold life"	"src/borg/borg4.c:9348"
"2heal"	"src/borg/borg4.c:9356"
"RBlind"	"src/borg/borg4.c:9359"
"+10 speed"	"src/borg/borg4.c:9376"
"RChaos"	"src/borg/borg4.c:9380"
"RDisen"	"src/borg/borg4.c:9381"
"+20 Speed"	"src/borg/borg4.c:9388"
"10ResMana"	"src/borg/borg4.c:9405"
"5Heal"	"src/borg/borg4.c:9408"
"15EZHeal"	"src/borg/borg4.c:9411"
"10Speed"	"src/borg/borg4.c:9414"
"Clevel < depth"	"src/borg/borg4.c:9453"
"No deeper %d."	"src/borg/borg4.c:9464"
"Scumming *Heal* potions (%d to go)."	"src/borg/borg4.c:9484 src/borg/borg4.c:9497"
"Collect from house (%d potions)."	"src/borg/borg4.c:9506"
"Must kill %s."	"src/borg/borg4.c:9526"
"%s still alive!"	"src/borg/borg4.c:9561"
"# Forgetting an object '%s' at (%d,%d)"	"src/borg/borg5.c:241"
"# There was an object '%s' at (%d,%d)"	"src/borg/borg5.c:326"
"# Too many objects"	"src/borg/borg5.c:366"
"# Creating an object '%s' at (%d,%d)"	"src/borg/borg5.c:423"
"# Tracking an object '%s' at (%d,%d) from (%d,%d)"	"src/borg/borg5.c:536"
"# Assuming player ghost (char %d, attr %d)"	"src/borg/borg5.c:706"
" (offscreen)"	"src/borg/borg5.c:783 src/borg/borg5.c:2488 src/monster/mon-msg.c:450 src/monster/mon-util.c:322"
"# Handling offscreen monster (%s)"	"src/borg/borg5.c:791"
"The "	"src/borg/borg5.c:795 src/monster/mon-lore.c:1832 src/wiz-spoil.c:710"
"# Assuming player ghost (%s) (a)"	"src/borg/borg5.c:798"
"# Assuming player ghost (%s)(b)"	"src/borg/borg5.c:860"
"# Fearing region value %d."	"src/borg/borg5.c:966"
"# Fearing region (%d,%d) value %d because of a non-LOS %s"	"src/borg/borg5.c:970"
"# Forgetting a monster '%s' at (%d,%d)"	"src/borg/borg5.c:1287"
"# Noting sleep on a monster '%s' at (%d,%d)"	"src/borg/borg5.c:1325"
"# There was a monster '%s' at (%d,%d)"	"src/borg/borg5.c:1453"
"# Following a monster '%s' to (%d,%d) from (%d,%d)"	"src/borg/borg5.c:1593"
"# Too many monsters"	"src/borg/borg5.c:1636"
"# Creating a monster '%s' at (%d,%d), HP: %d, Time: %d, Index: %d"	"src/borg/borg5.c:1680"
"# Removing Regional Fear (%d,%d) because of a LOS %s"	"src/borg/borg5.c:1715"
"# Flickering monster '%s' at (%d,%d)"	"src/borg/borg5.c:1858"
"# Converting a monster '%s' at (%d,%d)"	"src/borg/borg5.c:1863 src/borg/borg5.c:2651"
"# Tracking a monster '%s' at (%d,%d) from (%d,%d)"	"src/borg/borg5.c:1900"
"It"	"src/borg/borg5.c:2465 src/monster/mon-lore.c:736"
"Someone"	"src/borg/borg5.c:2466"
"Something"	"src/borg/borg5.c:2467"
"# Invisible monster nearby."	"src/borg/borg5.c:2470"
"# Offscreen monster nearby"	"src/borg/borg5.c:2491"
"# There is a monster '%s' within %d grids of %d,%d"	"src/borg/borg5.c:2507"
"# Bizarre monster nearby"	"src/borg/borg5.c:2519"
"# Converting an object '%s' at (%d,%d)"	"src/borg/borg5.c:2573"
"# Matched a monster '%s' at (%d,%d) for the parsed msg."	"src/borg/borg5.c:2762"
"# Unable to locate monster '%s' near (%d,%d), which generated the msg (%s)."	"src/borg/borg5.c:2778"
"# Something failed"	"src/borg/borg5.c:2834"
"lite"	"src/borg/borg5.c:2838"
"# Called lite at (%d,%d)"	"src/borg/borg5.c:2841"
"wall"	"src/borg/borg5.c:2889"
"# Detected walls (%d,%d to %d,%d)"	"src/borg/borg5.c:2892"
"trap"	"src/borg/borg5.c:2903"
"# Detected traps (%d,%d to %d,%d)"	"src/borg/borg5.c:2906"
"door"	"src/borg/borg5.c:2917"
"# Detected doors (%d,%d to %d,%d)"	"src/borg/borg5.c:2920"
"both"	"src/borg/borg5.c:2931"
"# Detected traps and doors (%d,%d to %d,%d)"	"src/borg/borg5.c:2934"
"TDE"	"src/borg/borg5.c:2951"
"# Detected traps, doors & evil (%d,%d to %d,%d)"	"src/borg/borg5.c:2954"
"evil"	"src/borg/borg5.c:2977 src/monster/list-mon-flags.h:81"
"# Detected evil (%d,%d to %d,%d)"	"src/borg/borg5.c:2980"
"# Wank problem at grid (%d,%d) m:%d o:%d, borg at (%d,%d)"	"src/borg/borg5.c:3502"
"too many objects..."	"src/borg/borg5.c:3504"
"# Expiring a monster '%s' (%d) at (%d,%d)"	"src/borg/borg5.c:3645"
"# Expiring an object '%s' (%d) at (%d,%d)"	"src/borg/borg5.c:3679"
"# %s (+)"	"src/borg/borg5.c:3696"
"SELF:"	"src/borg/borg5.c:3712"
"FEELING:"	"src/borg/borg5.c:3719"
"HIT:"	"src/borg/borg5.c:3739 src/borg/borg5.c:3898"
"MISS:"	"src/borg/borg5.c:3749 src/borg/borg5.c:3908"
"KILL:"	"src/borg/borg5.c:3759 src/borg/borg5.c:3918"
"BLINK:"	"src/borg/borg5.c:3777 src/borg/borg5.c:3934"
"DIED:"	"src/borg/borg5.c:3792 src/borg/borg5.c:3950 src/borg/borg5.c:4903"
"PAIN:"	"src/borg/borg5.c:3808 src/borg/borg5.c:3966 src/borg/borg5.c:4915"
"STATE__FEAR:"	"src/borg/borg5.c:3820 src/borg/borg5.c:3843 src/borg/borg5.c:4020 src/borg/borg5.c:4967"
"STATE__BOLD:"	"src/borg/borg5.c:3830 src/borg/borg5.c:4030 src/borg/borg5.c:4977"
"STATE_SLEEP:"	"src/borg/borg5.c:3838 src/borg/borg5.c:3999 src/borg/borg5.c:4946"
"STATE_CONFUSED:"	"src/borg/borg5.c:3848"
"SPELL_70"	"src/borg/borg5.c:3870"
"SPELL_71"	"src/borg/borg5.c:3871"
"QUAKE"	"src/borg/borg5.c:3878 src/borg/borg9.c:1004"
"HIT_BY:"	"src/borg/borg5.c:3979 src/borg/borg5.c:4925 src/borg/borg5.c:5009"
"MISS_BY:"	"src/borg/borg5.c:3989 src/borg/borg5.c:4935 src/borg/borg5.c:5016"
"STATE_AWAKE:"	"src/borg/borg5.c:4010 src/borg/borg5.c:4957"
"SPELL_"	"src/borg/borg5.c:4040 src/borg/borg5.c:4987 src/borg/borg5.c:5023"
"SPELL_75"	"src/borg/borg5.c:4050"
"# Logging need for use of Detect Traps."	"src/borg/borg5.c:4061"
"# Assuming a Traps at (%d,%d)."	"src/borg/borg5.c:4082"
"# Morgoth has not been seen in %d turns.  Going to hunt him."	"src/borg/borg5.c:4461"
"# Morgoth has not been seen in %d turns.  No show."	"src/borg/borg5.c:4468"
"# Monster opened door at %d,%d.  That's scary."	"src/borg/borg5.c:4774"
"# %s (%d)"	"src/borg/borg5.c:5036"
"# Ignoring messages."	"src/borg/borg5.c:5205"
"> Reacting Msg (%s)"	"src/borg/borg5.c:5210"
"too many messages"	"src/borg/borg5.c:5218"
"too much messages"	"src/borg/borg5.c:5225"
"# Resetting recall depth."	"src/borg/borg6.c:631 src/borg/borg6.c:649"
"# Resetting recall depth during munchkin mode."	"src/borg/borg6.c:637"
"# Not Resetting recall depth."	"src/borg/borg6.c:643"
"# Not resetting recall depth."	"src/borg/borg6.c:660"
"# Possibility of being surrounded (monsters/safegrids)(%d/%d)"	"src/borg/borg6.c:857"
"# Illuminating this hallway"	"src/borg/borg6.c:1239"
"Squint"	"src/borg/borg6.c:1292 src/borg/borg6.c:1298"
"Grip"	"src/borg/borg6.c:1302 src/borg/borg6.c:9834"
"Fang"	"src/borg/borg6.c:1303 src/borg/borg6.c:9835"
"Small kobold"	"src/borg/borg6.c:1304"
"Novice"	"src/borg/borg6.c:1308"
"Kobold"	"src/borg/borg6.c:1309"
"Kobold archer"	"src/borg/borg6.c:1310"
"Jackal"	"src/borg/borg6.c:1311"
"Shrieker"	"src/borg/borg6.c:1312"
"Farmer Maggot"	"src/borg/borg6.c:1313"
"Filthy street urchin"	"src/borg/borg6.c:1314"
"Battle-scarred veteran"	"src/borg/borg6.c:1315"
"Mean-looking mercenary"	"src/borg/borg6.c:1316"
"Bullr"	"src/borg/borg6.c:1319"
"Giant white mouse"	"src/borg/borg6.c:1320"
"White worm mass"	"src/borg/borg6.c:1321"
"Green worm mass"	"src/borg/borg6.c:1322"
