Original text	Translation
"Abortion"	"прерыванием"
"; about 1 time in %d"	" примерно 1/%d времени"
"About body"	"Накинуто"
"absorb light"	"поглощения света"
"Accepted!"	"Принято!"
"Ac:%d  "	"Бр:%d  "
"Acid Ball"	"Кислотный Шар"
"acid bolt (5d8)"	"кислотной стрелы (5d8)"
"Acid Bolt"	"Кислотная Стрела"
" Acid:"	" Кисл:"
"acid"	"кислотой"
"+:A closed door"	"+:Закрытая дверь"
"Action: "	"Действие: "
"Activate quick messages"	"Быстрые сообщения"
"Activate which item? "	"Активировать какой предмет? "
"Adamantite "	"адамантов"
" adamantite "	" адамантовых "
" :A dark grid"	" :Темная клетка"
"Added a keymap."	"Карта клавиш добавлена."
"Added a macro."	"Макрос добавлен."
">:A down staircase"	">:Лестница вниз"
"Adult: Allow purchase of stats using points"	"Жизнь: Позволить покупку показателей на очки"
"Adult: Allow specification of minimal stats"	"Жизнь: Позволить задание минимальных показателей"
"Adult: Don't stack objects on the floor"	"Жизнь: Не складывать разные объекты в кучи"
"Adult: Maximize effect of race/class bonuses"	"Жизнь: Максимизировать эффекты расы/класса"
"Adult: Preserve artifacts when leaving level"	"Жизнь: Сохранять ненайденные артефакты"
"Adult: Randomize some of the artifacts (beta)"	"Жизнь: Случайные артефакты (бета)"
"Adult: Restrict creation of artifacts"	"Жизнь: Отключить артефакты"
"Adult: Restrict the use of stairs/recall"	"Жизнь: Отключить лестницы вверх и возвращение"
"Adult: Restrict the use of stores/home"	"Жизнь: Отключить магазины/дом"
"Adv Exp"	"След. уровень"
"a fatal wound"	"ранениями"
"A feeling of Death flows through your body."	"Чувство Смерти протекает сквозь вас..."
"a fire trap"	"огненной ловушкой"
"Afraid"	"Испуг "
", afraid"	", напуган%s"
"Age"	"Возраст"
"aggravates creatures around you"	"привлекает монстров к вам"
"agile"	"ловким"
";:A glyph of warding"	";:Руна защиты"
"Agreed!"	"Отлично!"
"A gruesome software bug LEAPS out at you!"	"Жуткий баг ВЫСКАКИЕВАЕТ на вас!"
"\\:A hafted weapon (mace/whip/etc)"	"\\:Тупое оружие (дубина, кнут и т.п.)"
"Aim which wand? "	"Направить какую палочку? "
"A kill of"	"Одно убийство такого существа"
"}:A launcher (bow/crossbow/sling)"	"}:Из чего стреляют (лук/арбалет/праща)"
"A line of blue shimmering light appears."	"Появляется коридор синего мерцающего света."
"all evil creatures"	"всех злых существ"
"All Hail the Mighty %s!"	"Да здраствует велик%s %s!"
"All of your coins were stolen!"	"Все ваши деньги были украдены!"
"All of y"	"Все ваши"
"Allow quantity specification"	"Позволить задание количества"
"almost dead"	"почти мертв%s"
"also carrying "	"также несет "
"Alter Reality"	"Изменение Мира"
"a magical arrow (150)"	"большой волшебной стрелы (150)"
"A magical staircase appears..."	"Появляется волшебная лестница..."
"{:A missile (arrow/bolt/shot)"	"{:Чем стреляют (стрела/болт/...)"
"Ammo"	"Боеприпасы"
"Amulets"	"Амулеты"
"& # Amulet~"	"& # амулет$N2A"
"A mystic shield forms around your body!"	"Вокруг вас формируется волшебный щит!"
"an acid trap"	"кислотной ловушкой"
" and a life rating of %dd%d.  "	" и %dd%d здоровья.  "
" and a life rating of %d.  "	" и %d здоровья.  "
", and is also"	", а также"
", and is especially deadly against "	", и особенно смертел%s против "
"and %s have exterminated at least %d of the creatures.  "	"и %s уничтожили не менее %d таких существ.  "
"and %s is not ever known to have been defeated.  "	"и %s ни разу не был%s.  "
"and you have exterminated at least %d of the creatures.  "	"и вы уничтожили не менее %d таких существ.  "
" and "	" и "
", and "	", и "
", and"	", и"
"an earthquake"	"землетрясение"
"|:An edged weapon (sword/dagger/etc)"	"|:Клинок (меч, кинжал и т.п.)"
"an exploding chest"	"взорвавшийся сундук"
"Angband Font Files (*.fon)\0*.fon\0"	"Файлы шрифтов для Angband (*.fon)\0*.fon\0"
"An image of your surroundings forms in your mind..."	"Изображение подземелья формируется у вас в голове..."
"animals"	"животных"
"Annihilation"	"Аннигиляция"
"':An open door"	"':Открытая дверь"
"<:An up staircase"	"<:Лестница вверх"
"Any greyed-out entries should only be used by advanced players."	"Затемненные пункты рекомендуются только опытным игрокам."
"a poison needle"	"ядовитый шип"
"/:A polearm (Axe/Pike/etc)"	"/:Прочее оружие (секиры и т.п.)"
"a potion of Death"	"зельем Смерти"
"a potion of Detonation"	"зельем взрыва"
"a potion of Ruination"	"зельем Ослабевания"
"!:A potion (or oil)"	"!:Напиток (или масло)"
"Appended keymaps."	"Карты клавиш выведены в файл."
"Appended macros."	"Макросы выведены в файл."
"A puff of green gas surrounds you!"	"Вас окружает облако зеленого газа!"
"A puff of yellow gas surrounds you!"	"Вас окружает облако желтого газа!"
" are destroyed!"	" сгорают!"
"Are you sure you want to enter wizard mode? "	"Вы уверены, что хотите войти в режим волшебника? "
"Are you sure you want to use the borg commands? "	"Вы уверены, что хотите использовать команды борга? "
"Are you sure you want to use the debug commands? "	"Вы уверены, что хотите использовать отладочные команды? "
"Are you sure? "	"Уверены? "
"=:A ring"	"=:Кольцо"
"Armor"	"Броня"
"Armour (Body)"	"Доспехи (тело)"
"Armour (Misc)"	"Доспехи (проч)"
"Around neck"	"На шее"
"Arrgghh!"	"Продавец горько плачет!"
"Artifact %d: power = %d"	"Артефакт %d: сила = %d"
"Artifact Spoilers for %s %s"	"Спойлер артефактов для %s %s"
"Artifact (%s)"	"Артефакт (%s)"
"A %s aura surrounds the %s."	"%s аура окружает ваш%s %s."
"?:A scroll"	"?:Свиток"
"):A shield"	"):Щит"
"asks if you have seen his dogs."	"спрашивает насчет своих собак."
", asleep"	", спит"
"A small dart barely misses you."	"Вы успели увернуться от маленького дротика."
"A small dart hits you!"	"В вас попадает маленький дротик!"
"A small needle has pricked you!"	"Вы укололись маленьким шипом!"
"_:A staff"	"_:Посох"
"A %s tries to %s, but your %s resists the effects!"	"Ужасная черная аура пытается окружить ваше оружие, "
"at depths of %d feet"	"на глубине %d футов"
"A tension leaves the air around you..."	"Напряжение покидает воздух вокруг вас..."
"A terrible black aura blasts your %s!"	"Ужасная черная аура разрушает ваш%s %s!"
" at normal speed"	" с нормальной скоростью"
"~:A tool (or miscellaneous item)"	"~:Прочий предмет"
"^:A trap"	"^:Ловушка"
"a trap"	"ловушкой"
"attacking monsters with"	"атакуете монстров с помощью:"
"attack speed"	"скорость атаки"
" attack"	" атакам"
"attack"	"атаки"
"Attempt it anyway? "	"Все равно попытаться? "
"Audible bell (on errors, etc)"	"Звонок (при ошибках и др.)"
"AU: %ld"	"Золото: %ld"
"Automatically clear '-more-' prompts"	"Автоматически очищать запросы '-далее-'"
"Auto-scum for good levels"	"Автоматически искать интересные уровни"
"%:A vein (magma or quartz)"	"%:Минеральная жила"
"*:A vein with treasure"	"*:Жила с сокровищем"
"average"	"средний"
"Avoid centering while running"	"Не центрировать при беге"
"Avoid checking for user abort"	"Не проверять прерывания пользователя"
"Avoid processing special colors"	"Не обрабатывать специальные цвета"
"#:A wall (or secret door)"	"#:Стена или секретная дверь"
"-:A wand (or rod)"	"-:Палочка (или жезл)"
"Bad cut     "	"Средние раны"
"badly wounded"	"тяжело ранен%s"
"Bad"	"Плохо"
"Banish Evil"	"Изгнание Зла"
"Banishment"	"Изгнание"
"banishment"	"изгнания"
"bash down doors"	"вышибать двери"
"b:Bat"	"b:Летучая мышь"
"B:Bird"	"B:Птица"
"beautiful"	"красивым"
"Bedlam"	"Бедлам"
"begs you for money."	"просит милостыню у вас."
"beg"	"просить милостыню"
"Berserker"	"Ярость"
"berserk rage (50+d50 turns)"	"ярости (50+d50 ходов)"
"berserk rage, bless, and resistance"	"ярости, благословления и сопротивления"
"  Best"	"  Лучш"
"Birth: Allow purchase of stats using points"	"Рожд.: Позволить покупку показателей на очки"
"Birth: Allow specification of minimal stats"	"Рожд.: Позволить задание минимальных показателей"
"Birth: Don't stack objects on the floor"	"Рожд.: Не складывать разные объекты в кучи"
"Birth: Maximize effect of race/class bonuses"	"Рожд.: Максимизировать эффекты расы/класса"
"Birth Options"	"Опции рождения"
"Birth: Preserve artifacts when leaving level"	"Рожд.: Сохранять ненайденные артефакты"
"Birth: Randomize some of the artifacts (beta)"	"Рожд.: Случайные артефакты (бета)"
"Birth: Restrict creation of artifacts"	"Рожд.: Отключить артефакты"
"Birth: Restrict the use of stairs/recall"	"Рожд.: Отключить лестницы вверх и возвращение"
"Birth: Restrict the use of stores/home"	"Рожд.: Отключить магазины/дом"
"bites you."	"кусает вас."
"bite"	"кусать"
"bizarre things"	"странных вещей"
"Bless"	"Благословление"
"blindness"	"слепоте"
"Blind"	"Ослеп"
"blind"	"ослепляют"
"Blind:"	"Слепо:"
"blink-self"	"телепортируют на короткое расстояние"
"Blink"	"Скачок"
"Blows:"	"Удары:"
"Blows"	"Удары"
"Blue"	"Синий"
"Body Armor"	"Доспехи"
"& Book~ of Magic Spells #"	"& книг$N1M заклинаний #"
"Books (Mage)"	"Книги (Маг)"
"Books (Priest)"	"Книги (Священник)"
"Boots"	"Ботинки"
"bore through walls"	"пробиваться через стены"
"Bows"	"Луки"
"Brand which bolts? "	"Пометить какие болты? "
"Brand which kind of ammunition? "	"Пометить какую амуницию? "
"breathe acid (130) every 450+d450 turns"	"дыхания кислотой (130) каждые 450+d450 ходов"
"breathe balance (250) every 300+d300 turns"	"дыхания элементами баланса (250) каждые 300+d300 ходов"
"breathe chaos/disenchant (220) every 300+d300 turns"	"дыхания хаосом/антимагией (220) каждые 300+d300 ходов"
"breathe confusion (120) every 450+d450 turns"	"дыхания контузией (120) каждые 450+d450 ходов"
"breathe fire (200) every 450+d450 turns"	"дыхания огнем (200) каждые 450+d450 ходов"
"breathe frost (110) every 450+d450 turns"	"дыхания холодом (110) каждые 450+d450 ходов"
"breathe light/darkness (200) every 300+d300 turns"	"дыхания светом/темнотой (200) каждые 300+d300 ходов"
"breathe lightning (100) every 450+d450 turns"	"дыхания молнией (100) каждые 450+d450 ходов"
"breathe multi-hued (250) every 225+d225 turns"	"дыхания низшими элементами (250) каждые 225+d225 ходов"
"breathe poison gas (150) every 450+d450 turns"	"дыхания ядовитым газом (150) каждые 450+d450 ходов"
"breathe sound (130) every 450+d450 turns"	"дыхания звуком (130) каждые 450+d450 ходов"
"breathe sound/shards (230) every 300+d300 turns"	"дыхания звуком/осколками (230) каждые 300+d300 ходов"
"breathe the elements (300) every 300+d300 turns"	"дыхания элементами (300) каждые 300+d300 ходов"
"bright light"	"яркому свету"
"bright"	"умным"
"broken savefile"	"ошибка в сохраненной игре"
"Broken savefile"	"ошибка сохраненной игры"
"broken"	"сломанный"
"Browse which book? "	"Просмотреть какую книгу? "
"(Browsing) Command: "	"(Просмотр) Команда: "
"Burden"	"Загрузка"
" burn up!"	" загораются!"
"burn"	"сжигания"
", but does not deign to chase intruders"	", но не пытается догонять противника"
", but it also "	", но также "
"butts you."	"бодает вас."
"butt"	"бодать"
", but you have taken revenge!  "	", но вы смогли отомстить!  "
"Buying %s (%c)."	"Покупка %s (%c)."
" by %i.  "	" на %i.  "
"You have nothing to enchant."	"Вам нечего зачаровывать."
"by %s."	"%s."
"Call Light"	"Призвать Свет"
"Cancelled."	"Отменено."
"Cannot access the '%s' file!"	"Не удалось открыть файл '%s'!"
"Cannot activate palette!"	"Не удалось включить палитру!"
" cannot be "	" не может быть "
"Cannot close spoiler file."	"Не удалось закрыть файл спойлера."
"Cannot create palette!"	"Не удалось создать палитру!"
"Cannot create spoiler file."	"Не удалось создать файл спойлера."
"Cannot create the '%s' file!"	"Не удалось создать файл '%s'!"
"Cannot find help file: %s"	"Не удалось найти файл справки: %s"
"Cannot find required directory:\n%s"	"Не найдена необходимая папка:\n%s"
"Cannot find required file:\n%s"	"Не найден необходимый файл:\n%s"
"Cannot initialize alloc stuff"	"Не удается инициализировать память"
"Cannot initialize artifacts"	"Не удалось загрузить артефакты"
"Cannot initialize classes"	"Не удалось загрузить классы"
"Cannot initialize ego-items"	"Не удалось загрузить эго-предметы"
"Cannot initialize features"	"Не удалось загрузить ландшафт"
"Cannot initialize flavors"	"Не удалось загрузить цвета"
"Cannot initialize graphics!"	"Не удалось инициализировать графику!"
"Cannot initialize histories"	"Не удалось загрузить историю"
"Cannot initialize monsters"	"Не удалось загрузить монстров"
"Cannot initialize objects"	"Не удалось загрузить предметы"
"Cannot initialize other stuff"	"Не удается инициализировать прочее"
"Cannot initialize owners"	"Не удалось загрузить продавцов"
"Cannot initialize prices"	"Не удалось загрузить цены"
"Cannot initialize races"	"Не удалось загрузить расы"
"Cannot initialize scripts"	"Не удается инициализировать скрипты"
"Cannot initialize sizes"	"Не удалось загрузить размеры"
"Cannot initialize sound!"	"Не удалось инициализировать звук!"
"Cannot initialize vaults"	"Не удалось загрузить лабиринты"
"Cannot open savefile"	"Не удалось открыть сохраненную игру"
"Cannot open '%s'."	"Не удалось открыть '%s'."
"Cannot parse savefile"	"Не удалось понять сохраненную игру"
"Cannot place monster %d"	"Не удалось разместить монстра %d"
"Cannot place object %d!"	"Не удалось разместить предмет %d!"
"Cannot place player (%d,%d)!"	"Не удалось разместить героя (%d,%d)!"
"Cannot read bitmap file '%s'"	"Не удалось прочитать файл '%s'"
"Cannot read savefile"	"Не удалось прочитать сохраненную игру"
"Cannot realize palette!"	"Не удалось реализовать палитру!"
"Cannot select floor!"	"Нельзя выбрать на полу!"
"Cannot set main window flags!"	"Нельзя задавать флаги главного окна!"
"Cannot switch item selector!"	"Нельзя выбрать это!"
"Cannot write the '%s' file!"	"Не удалось записать файл '%s'!"
" can "	" может "
"carrying in your pack"	"носите в рюкзаке:"
"carrying "	"под ней "
"cast"	"Колдовать"
"cause amnesia"	"вызывают амнезию"
"cause brain smashing"	"тяжело повреждают разум"
"cause critical wounds"	"вызывают критические ранения"
"cause hallucinations"	"вызова галлюцинаций"
"cause light wounds"	"вызывают легкие ранения"
"cause mind blasting"	"повреждают разум"
"cause mortal wounds"	"вызывают смертельные ранения"
"cause serious wounds"	"вызывают серьезные ранения"
" CB"	" КБ"
"C:Canine"	"C:Собака"
"c:Centipede"	"c:Гусеница"
"Center map continuously (very slow)"	"Постоянно центрировать карту (медленно)"
" changes!"	" меняется!"
"Chant"	"Пение"
"Chaos Strike"	"Удар Хаоса"
"Chaos:"	"Хаос :"
"chaos"	"хаосом"
"Character dump failed!"	"Не получилось вывести информацию о герое!"
"Character dump successful."	"Информация о герое выведена в файл."
"  [Character Equipment]\n\n"	"  [Экипировка]\n\n"
"  [Character Inventory]\n\n"	"  [Инвентарь]\n\n"
" charge"	" заряд"
" (charging)"	" (зарядка)"
" charging)"	" зарядка)"
"charisma"	"обаяние"
"Cheat: Allow player to avoid death"	"Чит: Позволить избегать смерти"
"Cheating death"	"читерством"
"Cheat: Know complete monster info"	"Чит: Включить полную информацию о монстрах"
"Cheat Options"	"Опции читов"
"Cheat: Peek into dungeon creation"	"Чит: Просматривать создание подземелья"
"Cheat: Peek into monster creation"	"Чит: Просматривать создание монстров"
"Cheat: Peek into object creation"	"Чит: Просматривать создание объектов"
"Cheat: Peek into something else"	"Чит: Просматривать прочие детали"
"Chests"	"Сундуки"
"Choose a monster race (by symbol) to banish: "	"Введите символ монстров для изгнания: "
"[Choose 'New' or 'Open' from the 'File' menu]"	"[Выберите 'Новая' или 'Открыть' из меню 'Игра']"
"Chr: "	"Оба: "
"CHR: "	"ОБА: "
"Clairvoyance"	"Ясновидение"
"clairvoyance"	"ясновидения"
"Class"	"Класс"
"claws you."	"царапает вас."
"claw"	"царапать"
"Click!"	"Щелк!"
"Cloaks"	"Плащи"
"Cloudkill"	"Ядовитое Облако"
"clumsy"	"неуклюжим"
" Cold:"	" Холо:"
"cold"	"холодом"
"Command: Append keymaps to a file"	"Команда: Вывести карты клавиш в файл"
"Command: Append macros to a file"	"Команда: Вывести макросы в файл"
"Command: Append options to a file"	"Команда: Вывести опции в файл"
"Command: Base Delay Factor"	"Команда: Основная задержка"
"Command: Create a keymap"	"Команда: Создать карту клавиш"
"Command: Create a macro"	"Команда: Создать макрос"
"Command: Enter a new action"	"Команда: Новое действие"
"Command: Hitpoint Warning"	"Команда: Предупреждение о низком здоровье"
"Command: Load a user pref file"	"Команда: Загрузить пользовательский prf-файл"
"Command: Query a keymap"	"Команда: Вывести карту клавиш"
"Command: Query a macro"	"Команда: Вывести макрос"
"Command: Remove a keymap"	"Команда: Удалить карту клавиш"
"Command: Remove a macro"	"Команда: Удалить макрос"
"Command: "	"Команда: "
"Compacting monsters..."	"Удаление избыточных монстров..."
"Compacting objects..."	"Сжатие объектов..."
"Compress messages in savefiles"	"Сжимать сообщения в сохраненных играх"
"Confused"	"Контужен"
", confused"	", контужен%s"
"confused"	"контужен%s"
"confuse monster"	"контузии монстра"
"Confuse Monster"	"Контузия Монстра"
"confuse"	"контузии"
"confusion"	"контузией"
"Confu:"	"Конту:"
"*** CONGRATULATIONS ***"	"*** ПОЗДРАВЛЯЕМ ***"
"constitution"	"телосложение"
"Contemplating suicide!"	"Будет совершено самоубийство!"
"Control: "	"Символ: "
"Converted a %d.%d.%d savefile."	"Конвертирована сохраненная игра версии %d.%d.%d."
"Con: "	"Тел: "
"CON: "	"ТЕЛ: "
"Cool!"	"Продавец подмигивает вам!"
"Copper "	"медн"
" copper "	" медных "
"Cost"	"Цена"
"Count: %d"	"Повторять: %d"
"Count: "	"Повторять: "
"crawl on you"	"ползти по вам"
"crawls on you."	"ползет по вам."
"Create a spoiler file."	"Создать файл спойлера."
"create darkness"	"гасят свет"
"creates earthquakes on impact"	"вызывает землетрясения при ударе"
"create traps"	"создают ловушки"
" creature"	" существо"
" cringes from the light!"	" корчится от света!"
"crushes you."	"сдавливает вас."
"crush"	"сжимать"
"['c' to change name, 'f' to file, 'h' to change mode, or ESC]"	"['c' сменить имя, 'f' вывод в файл, 'h' сменить режим, или ESC]"
"Cur AC "	"Броня "
"Cure Critical Wounds"	"Лечение Критических Ран"
"Cure Light Wounds"	"Лечение Легких Ран"
"Cure Mortal Wounds"	"Лечение Смертельных Ран"
"Cure Poison"	"Лечение Яда"
"Cure Serious Wounds"	"Лечение Серьезных Ран"
"cure wounds (4d7)"	"лечения ран (4d7)"
"Cur Exp"	"Текущий опыт"
"Cur HP "	"Здор. "
"Current action (if any) shown below:"	"Текущее действие показано ниже:"
"Current base delay factor: %d (%d msec)"	"Текущая основная задержка: %d (%d мсек)"
"Current hitpoint warning: %2d%%"	"Предупреждение на: %2d%%"
"cursed"	"проклятый"
"Cur SP "	"Мана   "
"cute"	"красивым"
" %d+3d6"	" урон %d+3d6"
" dam 11d%d"	" урон 11d%d"
" dam 13d%d"	" урон 13d%d"
" dam 200"	" урон 200"
" dam 40+%dd7"	" урон 40+%dd7"
" dam 6d8"	" урон 6d8"
" dam %dd4"	" урон %dd4"
" dam %dd6"	" урон %dd6"
" dam %dd8"	" урон %dd8"
" dam d%d"	" урон d%d"
" dam %dx%d"	" урон %dx%d"
" dam %d"	" урон %d"
"Damn!"	"Продавец выглядит недовольным."
"dances around you!"	"угрожает вам!"
"D:Ancient Dragon/Wyrm"	"D:Древний Дракон/Змей"
"Darkness surrounds you."	"Тьма окружает вас."
"darkness"	"темнотой"
"dark"	"темноте"
" Dark:"	" Тьма:"
"Dark"	"Черный"
"(D) Base Delay Factor"	"(D) Основная задержка"
"d:Dragon"	"d:Дракон"
"dead"	"мертв"
"death save failed!"	"Посмертное сохранение не удалось!"
"Debug Command: "	"Отладочная команда: "
"Deep gash   "	"Глубок. раны"
"Deep Monster (%s)."	"Глубокий монстр (%s)."
"Deep Unique (%s)."	"Глубокий уникальный (%s)."
"defiles you!"	"дразнит вас!"
"demons"	"демонов"
" demon"	" демон"
"Description"	"Описание   "
"destroy objects"	"уничтожать предметы"
"destroy weaker monsters"	"уничтожать слабых монстров"
"Destroy which item? "	"Уничтожить какой предмет? "
"Detect Doors/Stairs"	"Поиск Дверей/Лестниц"
"Detect Enchantment"	"Поиск Чар"
"Detect Evil"	"Поиск Зла"
"Detect Invisible"	"Поиск Невидимого"
"Detection"	"Поиск"
"detection"	"поиска"
"Detect Monsters"	"Поиск Монстров"
"Detect Objects"	"Поиск Объектов"
"Detect Treasure"	"Поиск Сокровищ"
"dexterity"	"ловкость"
"dextrous"	"ловким"
"Dex: "	"Лов: "
"DEX: "	"ЛОВ: "
"%d ft"	"%d фт"
" dies."	" погибает."
"Die? "	"Умереть? "
" difficult"	" сложно"
"Diggers"	"Копание"
"Direction ('5' for target, '*' to re-target, Escape to cancel)? "	"Направление ('5' для подтвержд., '*' для другой цели, Escape)? "
"Direction (Escape to cancel)? "	"Направление (Escape для отмены)? "
"Direction ('*' to choose a target, Escape to cancel)? "	"Направление ('*' для выбора цели, Escape)? "
" disappears!"	" исчезает!"
" (disarmed)"	" (обезврежен)"
"Disarming"	"Обезвреж."
"disenchantment"	"антимагией"
"disenchant"	"раззачарования"
"Disen:"	"АМаги:"
"Dispel Curse"	"Сокрушение Проклятий"
"dispel evil (x5)"	"уничтожения зла (x5)"
"Dispel Evil"	"Уничтожение Зла"
"Dispel Undead"	"Уничтожение Мертвецов"
"Display borg messages"	"Сообщения борга"
"Display borg status"	"Статус борга"
"Display current knowledge"	"Показать знания"
"Display equip/inven"	"Экипировка/Инвентарь"
"Display floor stacks in a list"	"Показывать кучи на полу в списке"
"Display inven/equip"	"Инвентарь/Экипировка"
"Display messages"	"Сообщения"
"Display monster list"	"Список монстров"
"Display monster recall"	"Монстры"
"Display object recall"	"Предметы"
"Display Options"	"Дисплей"
"Display overhead view"	"Карты"
"Display player (basic)"	"Герой (основное)"
"Display player (extra)"	"Герой (доп.)"
"Display script source"	"Тексты скриптов"
"Display script variables"	"Переменные скриптов"
"Display snap-shot"	"Снимок"
" dissolves!"	" рассыпается!"
"Disturbance Options"	"Беспокойство"
"Disturb whenever any monster moves"	"Беспокоить, когда двигается любой монстр"
"Disturb whenever boring things happen"	"Беспокоить при разных событиях"
"Disturb whenever map panel changes"	"Беспокоить при смене панели"
"Disturb whenever player state changes"	"Беспокоить при смене состояния героя"
"Disturb whenever viewable monster moves"	"Беспокоить, когда движется видимый монстр"
"%d of your ancestors %s been killed by this creature, "	"%d %s был%s этим существом, "
"Done!"	"Нет проблем!"
"Done."	"Сделано."
"door and trap destruction"	"разрушения дверей и ловушек"
"Door Creation"	"Создание Дверей"
"Do you really want to commit suicide? "	"Действительно покончить с собой? "
"Do you want to quit? "	"Хотите выйти? "
"Do you want to retire? "	"Хотите прекратить ваши подвиги? "
"Do you wish to do business or not?"	"Я предлагаю отличную цену."
"dragons"	"драконов"
" dragon"	" дракон"
"drain charges"	"высасывания зарядов"
"drain life (120)"	"высасывания жизни (120)"
"drain life (90)"	"высасывания жизни (90)"
"drain mana"	"высасывают ману"
"drains experience"	"высасывает опыт"
"drool on you"	"кричать на вас"
"drools on you."	"кричит на вас."
"Drop which item? "	"Бросить какой предмет? "
"%d/turn"	"%d/ход"
"Dump saved."	"Снимок экрана сохранен."
" dur 10+d10"	" время 10+d10"
" dur 12+d12"	" время 12+d12"
" dur 20+d20"	" время 20+d20"
" dur 24+d24"	" время 24+d24"
" dur 25+d25"	" время 25+d25"
" dur 30+d20"	" время 30+d20"
" dur 48+d48"	" время 48+d48"
" dur %d+d20"	" время %d+d20"
" dur %d+d25"	" время %d+d25"
"Earthquake"	"Землетрясение"
"Eat which item? "	"Съесть какой предмет? "
"eat your food"	"поедания вашей еды"
" EB"	" НБ"
"Edged Weapons"	"Клинки"
"E:Elemental"	"E:Элементаль"
"Efficiency Options"	"Эффективность"
"e:Floating Eye"	"e:Летающий Глаз"
"Ego-item (%s)"	"Эго-предмет (%s)"
"electricity"	"электричеством"
"electrify"	"электрошока"
" Elec:"	" Элек:"
"Elemental Brand"	"Клеймо Элементов"
"empty"	"пусто"
" (empty)"	" (пустой)"
"Enchant Armor"	"Зачарование Доспехов"
"Enchant Armour"	"Зачарование Доспехов"
"Enchant Weapon"	"Зачарование Оружия"
"Enchant which item? "	"Зачаровать какой предмет? "
"Energy drains from your pack!"	"Энергия вытекает из вашего рюкзака!"
"engulfs you."	"обволакивает вас."
"engulf"	"обволакивать"
"Enter a name for your character: "	"Введите имя для вашего героя: "
"Enter character to be identified: "	"Введите символ: "
"Enter minimum value for: "	"Введите минимум для: "
"Entire inventory is shown."	"Показан весь инвентарь."
"(Equipment) Command: "	"(Экипировка) Команда: "
"Equip:"	"Экип.:"
" erratically"	" хаотично"
"Error %d in line %d of file '%s'."	"Ошибка %d в строке %d в файле '%s'."
"Error reading dungeon data"	"Ошибка чтения подземелья"
"Error reading item"	"Ошибка чтения предмета"
"Error (%s) reading %d.%d.%d savefile."	"Ошибка (%s) чтения версии %d.%d.%d."
"Error"	"Ошибка"
" ESC) Exit from Building."	" ESC) Выйти из здания."
" every %d+d%d turns"	" каждые %d+d%d ходов"
" every d%d turns"	" каждые d%d ходов"
" every %d turns"	" каждые %d ходов"
"Everything inside the chest is destroyed!"	"Все содержимое сундука уничтожено!"
" evil"	" зло%s"
"Examine which item? "	"Исследовать какой предмет? "
"Excellent"	"Отлично"
"excellent"	"превосходный"
" exceptional"	" исключительный"
"Excessive stats!"	"Слишком большие показатели!"
"Expand the power of the list commands"	"Расширение команд списка"
"Expand the power of the look command"	"Расширение команды взгляда"
"Experience: %d%% "	"Опыт       : %d%% "
